formula,target
Ag0.8 Ba2 Ga7.2,1
C16 H48 N4 Sb2 Te5,0
Dy0.05 O3 Sr0.95 Zr1,1
Ca0.5 Cr0.1 Mn0.9 Nd0.5 O3.27,1
H0.6 Al2 F1.4 O4.6 Si1,1
Ge2 I2 La2,0
Co1 Ge4 Tb2,1
Co0.5 Ge1 La3 S7,1
Al2 Ti1,0
La5 S8 Tl1,1
Ge0.4286 Nb1 Te2,1
Fe2 Ni1 P1,1
As1 Ca0.29 Fe1 O3 Sr1.71 V1,1
Ir0.6 W1.4,1
Mn1 Pr1 Si2,0
Bi0.5 Ca1 Cu1.5 O4 Sr1,1
Ca1 Cr1 O6 Sb1 Sr1,1
Ba0.63 Bi0.32 Fe0.37 O3 Ti0.63,1
H4 Al1.86 Fe0.09 Mg0.24 Mn1.82 O9 Si0.98,1
Ge0.429 Sb0.286 Sn0.143 Te1,1
C0.95 S0.05 U1,1
C4 H8 Co1 O8,0
C2 F2 Lu1 Na3 O6,1
Al1 Cu1 Te2,0
C3 H31 Co8 O34 P9,1
B1 Re1 V1,1
Ca1 Li1 O6 Pr1 Te1,1
Ca0.7 O3 Ru1 Sr0.3,1
Ba13 Bi5.81 Sn33.19,1
Ge2 Tm1 V0.17,1
Bi1 Li1,0
Mn1 Se3 U1,0
Dy2 Te5,0
Cd1.5 Mn1.5 O6 Te1,1
Ag0.022 Ga1 Li0.978 S2,1
 Al0.15 Ca0.818 Cr0.04 Fe0.069 Mg0.927 Na0.06 O6 Si1.928 Ti0.008,1
Nb0.33 Ta0.33 V0.34,1
Ag1 Ga2.97 In2.03 Se8,1
Co2 F7 K3,0
Cu3 Mn4 O12 Tm1,0
As1 Sn3 Zr5,0
Na3 P1 S1 Se3,1
Ru1 Si1 Y1,0
Co2.07 Mn0.93 O6 Te1,1
Al2 Ni3 Y1,0
Fe3 N8 Sr8,0
B3 Ca5 F1 O9,0
H2 Al1 As2 O8 Rb1,1
As2 Ga1 Li1 O7,0
Cl3 Mo1 Nd5 O23 Te7,1
Fe0.853 Mg1.147 O4 Si1,1
Au1 Na3 S2,0
Mn3 Si5 Tm2,0
B2 Ir5 Mg2 Zn1,0
Ce1 F1 S1,0
Ag3.8 Ba8 Si42.2,1
Ga5 Mn2,0
As12 Ce1 Ru4,0
B3.042 Eu0.304 O10.479 Si0.958 Sr3.544,1
O1 Pb1 Sr3,0
Fe0.01 La0.67 Mn0.99 O3 Pb0.33,1
 Al0.385 Ca1.3 F2 Fe0.6 K0.1 Mg4.6 Mn0.05 Na0.76 O22 Si7.615,1
Ba1 Co2 Nd1 O5.69,1
