,formula,target
151,Ag0.67 Pb0.67 Sb0.67 Te2,1
152,Nd9.553 O25.776 Si6,2
153,Mg0.955 Tl0.045,1
154,Bi6 O16 V3,0
155,Bi3 Cl1 Nb2 O11 Sr2,3
156,La1 Pd1,0
157,Mn0.32 Ni0.68 O3 Ti1,1
158,Ba1 Cu1 La0.6 Nd1.4 O5,1
159,Ba6 Br2 O25 Te10,0
160,I2 S0.993 Sn2.0067,1
161,Ba0.5 La1.5 Mg1 O6 Ti0.75 W0.25,1
162,Ag1 Cl1 In2 Te3,3
163,Al9 Cu8 Gd2,1
164,Co1 Ho5 Sb2,0
165,C4 F12 N4 O8 S12,0
166,Ag1 Mo2 O8 Yb1,1
167,Bi3 Nd4,0
168,Mn2 P2 Se6,0
169,As2 Ba0.13 Sn2 Sr0.87,1
170,Cu1 P1 Zr3,1
171,C4 Er2 Mn1,0
172,Ir1 Pd1,1
173,Mo0.25 Ni3 O6 Te0.75,1
174,Na0.089 O2.637 U0.892,3
175,Al1 Cu1 Te2,0
176,Ce1 Co2 N12 O24 Tl5,0
177,Al2.625 Fe0.249 Ga0.126 Ti1,1
178,As1 Co0.75 Mn1.25,1
179,Cr1.7 Cu1 Se4 Sn0.3,1
180,Ba2 Cu2.7 Ga0.3 O7.124 Pr1,3
181,La0.53 Mn1 O3 Sr0.47,1
182,Cu6.86 In2.69 Sb1,3
183,Ca0.3 Cr1 La0.7 O3,1
184,Ag6 Hg0.897 S5.897 Si1,2
185,Al6.4 Ca0.37 Cl2 K0.5 Na6.9 O48 Si17.6,3
186,Bi3 I2 Li1 O4,1
187,Pr9.84 S16 U1.224,3
188,N0.087 V1,2
189,Ba0.542 Bi1 K0.458 O3,1
190,F2 O4 Rb1 S1 Sb1,0
191,Ca0.1 O1.9 Zr0.9,3
192,Cu13.9 Mg6.8 Si3.3,1
193,Cl4 Nb1,0
194,Ge6 Ho4 Ir7,0
195,Fe5 K17 O16,0
196,Cr0.1 La3 Li7.1 O12 Zr1.9,3
197,B1 La0.9 O3 Sc0.1,1
198,Nb3 Si2,0
199,Ca10 Cl0.24 F1.9 O24 P6,3
200,Ca1.013 Fe1.72 O7 Sr0.396 Tb1.591 Ti0.28,3
201,Cs5 N10 Na1 W4,0
202,Fe5.667 Sm0.667,3
203,Cl1 F8 Nb1,0
204,Mo1 O6 Sr2 Yb1,0
205,Cd5.238 Gd1 Zn0.762,3
206,In1 O3 Rh1,0
207,As2 Ba0.92 K0.08 Zn2,1
208,Al5 Ge8 Yb7,0
209,Co1 Cs1 F6 Mg1,1
210,Fe1 Ge2 In0.5 O7 Y0.5,1
211,Sn1 Sr2,0
212,Os0.1 Ru1.9 Si2 U1,1
213,Fe2 K3 O4,0
214,C9 F4 Fe2 O7,0
215,Cl2 Co4 O9 Se3,0
216,Cd1 La1,0
217,Ba0.71 Ce0.92 O3 Pr0.29,3
218,Al1.795 Ba0.443 O16 Rb0.909 Ti6.205,3
219,Eu1.6 O3 Yb0.4,1
220,Nb3.09 O8.22 Tl1,2
221,Ge2 Lu2 O7,0
222,Ge2 Ru2 Sr1,0
223,Bi2 Fe2 Ga2 O9,1
224,Ag0.884 Al6.116 Zr6,1
225,Ce1 O2,0
226,Al7 B0.7 Hf6,2
227,As3.92 Cu12.54 S13 Sb0.08,3
228,Cs1 Sb1 Se2,0
229,C1 Co3 Sn1,0
230,N0.9 O11.85 Pr4.8 Si3,3
231,Ce5 Co19,0
232,Ba0.26 O3.13 Ta1.13,3
233,Al1 Cu2.9 Ni0.1,1
234,F6 K1 Ni1 Rb2,0
235,Ni4 Sn1 Zr1,0
236,Pb0.918 S1,2
237,Ba2 Ca1 K6 O24 U6,3
238,Al5.91 Au7.09 Ba1,1
239,Bi11.75 Cu8.5 S22,2
240,Ba0.7 Bi0.67 Dy0.35 K0.28 O3,1
241,Co1 Nd1 P1,0
242,La0.78 Mn1.17 O3.57 Pb0.2,3
243,Au0.9 Li1.1,1
244,F6 Gd1 K3,0
245,Gd1 N3 O9,0
246,Bi2 Cu1 O12 Se4,0
247,Ga1 Se1.48 Ta4 Te6.52,1
248,Cs2 O2 Zn1,0
