,formula,target
3089,Nb2 Pd0.731 Se5,2
3090,Bi0.1 O3 Pb0.9 Ti0.95 Zn0.05,1
3091,Ga16 Se33 Zn4,0
3092,Er4 Ge6 Rh7,0
3093,Co2 Er3 Ge4,0
3094,Al0.2 La9.667 O26 Si5.8,3
3095,Fe1 Gd0.13 Mo1 O6 Sr1.87,1
3096,As4 Ni1 Pd1,1
3097,Ca3 Fe1.464 O12 Si3 Ti0.536,1
3098,Bi2 Br1 Dy1 O4,0
3099,Fe1 Li0.37 Mo2 Na0.63 O8,1
3100,Co2 La0.5 P2 Pr0.5,1
3101,Cu0.28 Ga0.02 Ni0.7 O4.052 Pr1.3 Sr0.7,3
3102,Cd1 Na2 Sn1,0
3103,I2 S1 Sn2,1
3104,Bi24.96 O38.48 Pb1.04,3
3105,La0.333 Na0.333 O3 Sr0.333 Zr1,1
3106, Al0.289 Ca0.789 Cr0.029 Fe0.226 Mg0.732 Mn0.002 Na0.083 O6 Si1.805 Ti0.045,3
3107,Cl3 O10 Se2 Tb5,0
3108,Cl15 Li2 Mn1 Zr6,2
3109,Ba3 Ir1 O9 Ru1 Zn1,1
3110,Ga0.7 Pd8 Te2.3,1
3111,F4 N4 S4,0
3112,O4 Sc1 Sm1 Sr1,1
3113,B1 O7 P1 Zn3,0
3114,As2 Co3 O8,2
3115,S2 Tb1 Tl1,0
3116,Co0.22 Si1.79 Yb1,1
3117,Dy1 Gd4 Ge2 Si2,1
3118,Al61.17 Dy7.51 Re12,3
3119,Ce1 Mn2.1 Ni2.9,1
3120,Ba2 Co1 O6 Re1,1
3121,F1 O4 Sb3,0
3122,Ba1 Nd2 O10 Ti3,0
3123,F3.33 O0.33 Zr1,3
3124,Bi1 In0.8 O3 Ti0.1 Zn0.1,1
3125,Er0.5 O2 Pa0.5,1
3126,Mg24.25 Y4.75,1
3127,Cl4 Gd2 S1,0
3128,Ni7 Pr2,0
3129,Ca1 La5 S14 Sn2.75,3
3130,Ga0.3 Ni0.7,1
3131,Al8 K1.35 Na6 O32 Si8,2
3132,B6 N1 Na3 O13,0
3133,B2 Cu1.1 Mg1.9 Rh5,1
3134,As3 Ce1 Si1,0
3135,Bi1.5 Cu1.44 I6,2
3136,F2 Fe1 Na3.128 O9 P2 V1,3
3137,Ba2 Bi2 Fe4 O11,3
3138,Co0.6 Fe1.4 Gd0.3 O7 Sr2.7,1
3139,Bi5 Br4,2
3140,Fe1 O2.751 Pr0.33 Sr0.67,3
3141,Sc1 Zr1,1
3142,Ge1 Hf1 Ni1,0
3143,Co4 Nb2 P3,0
3144,Ag1.56 Bi3.44 Cl2.12 S4.88,3
3145,Cs0.52 Nb2.54 O14 W2.46,3
3146,Cl0.96 N6.96 Nd4 O3.08 Si4,3
3147,Ga4 Pu1,0
3148,Au1 Nd2 O1 P2,0
3149,As1 Fe0.9 La1 O1 Ru0.1,1
3150,Co0.25 Ni0.75 O4.1 Pr1.75 Sr0.25,3
3151,Fe2 K3 O12 P3,0
3152,Ba0.85 O2.89 Y0.52 Zr0.63,3
3153,Ca0.44 Cu2 Hg0.48 O6.89 Sr2 Tb1.08,3
3154,Ba0.269 O3 Sr0.731 Ti0.099 Zr0.901,1
3155,B4 Cr1 Th1,0
3156,Na3 P1 S3 Se1,1
3157,Fe14.5 Pr2 Si2.5,1
3158,Gd1 Pt3,1
3159,Al7.93 Fe9.07 Nd2,1
3160,B4 Rh4 Tb1,0
3161,Br3 Cs1 Pb0.5 Sn0.5,1
3162,Er3 O7 Ta1,3
3163,Bi0.25 Co0.25 O3 Pb0.75 V0.75,1
3164,Li1 Nd1 Se2,1
3165,Ir1 La3,0
3166,K0.95 Ni1.86 Se2,2
3167,B6 Fe2 Nd5,0
3168,C1 Ta0.8 W0.2,1
3169,In5 O12 Sb1 Sn1,1
3170,Co0.7 Cu1.69 Mn0.3 O2 Se2 Sr2,3
3171,Gd3.91 Si4 Y1.09,1
3172,Fe0.201 Nb2.799 Sn1,1
3173,Dy2.5 Ir4 Sc2.5 Si10,1
3174,Al0.007 Ca0.18 Fe0.817 Mg0.957 Mn0.027 O6 Si2 Ti0.01,1
3175,B1 Co1 Fe12.8 Nb0.2 Pr2,1
3176,Ag1 Bi1 I4 O12,0
3177,La1 Nb2 O7 Rb1.89,2
3178,C1 Cl1 N1 Pb1 S1,0
3179,Co21 Pr2 Si5,1
3180,Al4.24 Be0.945 Fe0.759 Mg1.94 O16 Si3.055,3
3181,B6 K0.5 N1 Na2.5 O13,1
3182,Li2 O9 S2 V1,0
3183,Bi0.2 O3 Yb1.8,1
3184,C5 Al3 Zr3,0
3185,B4 Ru5 Sc2,2
3186,Li0.95 S2 Y0.95 Zr0.05,3
3187,B1 Li3 N2,0
3188,Li1.33 O4 Ti1.67,1
3189,As4 Ti2 W3,1
3190,Ga2.95 Gd1 In1.05 Pt2,1
3191,Pr0.2 Th0.8,1
3192,P3 Tc1,0
3193,Lu0.12 Ni2 Zr0.88,1
3194,O6 U1 W1,0
3195,B1 Fe13.5 Ge0.5 Nd2,1
3196,La1 Mo0.1 Ni0.9 O3,1
3197,Cu21.5 Ga66 Li14.73 Mg36.77,1
3198,Br12 Te1 Zr2,0
3199,F4 O5 Sr3 Ti2,0
3200,Cr0.2 Fe1 O4 V1.8,1
3201,Al54.7 K54.7 O384 Si137.3,3
3202,B4 Fe2.1 V0.9,1
3203,Co0.2 Fe0.6 La0.7 O2.85 Sr0.3 Zr0.2,3
3204,Mn1 Mo1 N2,0
3205,Al2 F16 Sr5,0
3206,Ca1 O4 Yb2,0
3207,C2.5 Mn17 Y2,2
3208,In1.9 Ir3 Mg17.1,1
3209,As2 Co0.5 Fe0.5,1
3210,Al0.19 Ca0.88 K0.12 Mg0.83 O6 Si1.98,1
3211,Ba5.44 Cu13.09 Fe11.91 Pb0.56 S27,3
3212,Ag1 Al1 F6 Tl2,0
3213,Cr0.5 Fe0.5 O3 Yb1,1
3214,Co3 Mn2 Th1,1
3215,B2 Ni7 Tm3,0
3216,Al11 Li1 N14 Sr4,1
3217,B6 Cd1 Li1 O18 Y5,3
3218,Al1.34 Ca1 Fe0.6 O6 Si1.08,1
3219,Eu1 Re2,0
3220,Cd0.84 Cs2 Hg5.16 S7,1
3221,Al0.16 Ca0.02 Cr0.01 Fe0.19 Mg1.71 O6 Si1.91,1
3222,Cr1 Er4 S7,1
3223,Ca0.96 Fe0.038 Mg1.002 O6 Si2,1
3224,Ag1 In1 Li2,1
3225,Cs1 Cu2 F6,0
3226,Ca2 Cu1 La2 O12 Ti3,1
3227,N2 W1,0
3228,N0.73 Si0.27 U1,1
3229,B1 Co2 Fe11.4 Nd2 Si0.6,1
3230,In1.99 Ni0.97 S4,3
3231,Mn2 O6 Sb1 V1,0
3232,Cu2 Eu1 Sb2,0
3233,Ag1.12 Al11 Cd0.05 O17.11,3
3234,Ca1 N2 O6,0
3235,C4 K2 N4 Pt1 S4,0
3236,Ba8 O24 Sc5.332 U2.668,1
3237,Ca1 Ce2 S4,1
3238,Ga1 La0.83 Nd0.17 O3,1
3239,La0.2 O3 Sc1 Y0.8,1
3240,Cs2 F6 Pd1,0
3241,C1 Co1 N2,0
3242,Cu0.2 Mn1 Ni5.8 O8,1
3243,Am10.666 S15.999,2
3244,Ho1 Ru2 Si2,1
3245,Li1 P1,0
3246,Ag2 Al1 In1 S4,1
3247,As2 Cd1 O7 Sr1,0
3248,Ir2 O7 Pr2,0
3249,Ba2 Ca0.1 Cu3 O6.71 Y0.9,3
3250,As2 F16 N4 Ni1 O8 S6,0
3251,Mg6.27 Ni16 Sn25.73,1
3252,In3.1 Pd3 Tm13.9,1
3253,Ca0.874 Ga2.38,3
3254,Ga2.31 Ge0.69 O4.84,3
3255,Cu2.62 Fe1.06 La1 Mn3.32 O11.81,3
3256,As1 Li0.5 Ni0.25 O5 Ti1,3
3257,Ag0.249 Au1.751 Te4,1
3258,Fe0.215 S1 Zn0.785,1
3259,C0.55 Na4 O7.45 S1.45,3
3260,F8.2 K6 O15 Ta6.88,2
3261,Cu0.747 In1 Pd2.253,1
3262,C2 F6 Li1 N1 O4 S2,0
3263,Cr2 Fe0.65 Mg0.35 O4,1
3264,Ca2 F3 Na3 O15 Si4 Ti2 Y2,1
3265,Nb3 Rb0.57 Se6,2
3266,Lu20 Ru11,0
3267,Ba0.4 Bi0.6 Co0.6 O3 Ti0.4,1
3268,Cd4 Nd23 Rh7,0
3269,Pb0.3 S0.3 Sn0.7 Te0.7,1
3270,Co11 Sm1 Ti1,1
3271,Fe1 Na1 O8 Ti3,3
3272,Ni0.8 O1 Zn0.2,1
3273,B1 Fe14 La2,2
3274,Ce2 Co16 Hf1,1
3275,Na1 O4 Si1 Yb1,0
3276,Mn0.7 Re0.3,1
3277,In0.15 Pt0.85,1
3278,Cl1 F5 N1 Re1,0
3279,Fe5.2 Mo6.5 Si1.3,1
3280,Al0.493 Cr0.468 Fe2.536 Si0.507,1
3281,Cu2 Fe1 Nd1 O7.154 Sr2,3
3282,F8 O5 Y6,1
3283,Al6 Cu6 Tm1,1
3284,Mo0.11 Se8 Si2 Ta10.89,1
3285,Co1 K2 O6 Se2,0
3286,In0.8 O6 Sb1 Sn0.2 Sr2,1
3287,Fe2 O5 Ti1,1
3288,Ge1 Mn1 Rh2,0
3289,Fe0.8 Mn1.2 P0.504 Si0.5,1
3290,La0.75 Mg0.5 Nd0.25 O3 Sn0.5,1
3291,Gd1 In1.5 Sn1.5,1
3292,Fe2.845 O4,2
3293,Ba6.63 Sb14.39 Sn11,2
3294,Al1 Cu4 Nd1,1
3295,In4 Rb1,0
3296,C4 Ba1 Ca0.56 Ce1.6 F1 Na0.28 O12 Sr0.4,3
3297,C0.76 Nb1,2
3298,B1 Co2 Gd1 Ni2,1
3299,Ba2 Co0.12 Cu2.88 O6.93 Y1,3
3300,Al0.3 Ca0.29 Cu0.3 Fe0.09 K0.91 Na0.75 O10 Si3.7 Ti0.32,3
3301,B5 Cd1 La1 O10,0
3302,La0.9925 O3.902 P0.974 Pr0.0075,3
3303,Co2 Ni3 Pr0.5 Sm0.5,1
3304,Ce3 F11 O1 Rb1,2
3305,In0.8 La1 Sb2,2
3306,Co5 Ga2 Sm2,0
3307,La1 Mg2 Pd1,0
3308,Nd1 Ni1 Sn1,0
3309,Ir1 Si1 Zr1,0
3310,Fe1 O5 Ti2,1
3311,Ce0.66 Cu2 Gd0.67 Nb0.1 Nd0.67 O10 Ru0.9 Sr2,3
3312,Co0.4 Nd1 Si1.6,1
3313,Nb2 Pd0.915 Se5,2
3314,Fe1.33 O6 Sr2 Te0.67,1
3315,Cd12 In48 K23 Na8,0
3316,Lu3 Rh9 Si2 Sn3,0
3317,Br1 Fe1 O5 Te2,0
3318,S1 V3,0
3319,Ba1 O3 Si1,0
3320,Bi2.318 Se2.682,1
3321,Ho0.85 Th0.15,1
3322,Co0.8 Mn1.2 P0.8 Si0.2,1
3323,B2 Ga2 O7 Sr1,0
3324,Co6 Ge6 Sc1,0
3325,Br7 Ru1 Sc4.74,2
3326,Ag1 Cu4 U1,0
3327,Gd1 Rb1 S2,0
3328,C1 Er7 Si4,2
3329,Ho1 Na1 O7 P2,0
3330,Ca1 Fe1 O1 S1,0
3331,Ho1 Sb1 Zr1,0
3332,Pb3 S12 Sn3 Y2,0
3333,Na1.33 Se4 Sm2.67,1
3334,As2 O7 Rb1 Sc1,0
3335,Ce0.7 Cu2 Gd1.3 O9.74 Ru1 Sr2,3
3336,Mg2 Pt1,0
3337,B3 Cs3 F6 O3,0
3338,Nb0.125 Ni0.75 Ti0.125,1
3339,Ir19 P12 Tm5,2
3340,Ni20 P13 Zr6,0
3341,K6.95 Si46,2
3342,Al0.5 Cr3 Ge0.5,1
3343,Co1 Ge3 Nd1,0
3344,Al3.97 Ga1.03 O12 Y3,1
3345,Eu1 Pr2 S4,1
3346,Al7.48 Pd18 Zn74.52,1
3347,B2 Ba0.1 Cu2 O6 Sr0.9,1
3348,Ba0.03 Cr0.5 Si1.99 Ti0.47,1
3349,C11 Ir4 O13 S1,3
3350,In2.9 Mo15 Se19,2
3351,Ca1 La1 Mn1 Mo1 O5.92,3
3352,Ga1 S8 Ti4,0
3353,Al8 Fe5 Si9 U6,0
3354,Al92 Ca18 O384 Si100 Tl56,3
3355,Nb2 Ni0.5 Se4,2
3356,Al1 Hf1 Pt1,0
3357,Bi1 La1 O1 S1.6 Se0.4,1
3358,Bi0.51 Gd4 Ge2.49,1
3359,Ce4 N2 Se3,0
3360,Al20 Sm1 Ti2,0
3361,Hf0.008 O4 Ti1.1 Zr0.893,1
3362,Co4 La0.2 P12,2
3363,Au2 O11 Se4,0
3364,Cd1 Eu1 Ge1 Se4,0
3365,Fe0.6667 Nb0.6667 O4.0002 Ti0.6667,1
3366,Er2 Pt1,0
3367,Al1 La1 Rh1,0
3368,Hg1 Li2 S4 Si1,0
3369,Li1 Mn1.52 Ni0.48 O4,1
3370, Fe1.05 Mn1.88 Na0.18 O38 Pb0.61 Sr0.39 Ti7.03 V7.78 Zn0.26,3
3371,Ba0.5 Mo1 O3 Sr0.5,1
3372,Gd0.05 Ru0.95,1
3373,Au5 Cs1 Ga9,0
3374,Co1 Nd0.1 O2.48 Sr0.9,3
3375,Cu5 Sm1,0
3376,Ge1 Mo1 Ni1,1
3377,As1 Li0.6 Na0.4 S2,1
3378,Cl2 Cu1 O6 Se2 Sr2,0
3379,Hg0.9 Pt3.1,1
3380,Ca1 Ir2,0
3381,Li0.98 Mn1.52 O4 Ti0.5,1
3382,Bi1 O3 Rb3,0
3383,O3 Tm1 Y1,1
3384,Cs1 Ga1 Ge2 O6,1
3385,Ge0.5 Li0.143 Sb0.286 Te1,3
3386,Al7 Cu2 Fe3 U1,1
3387,Cl2 O8 Pr2 Ti3,0
3388,Br1 K3 O12 S3 Sn2,3
3389,Co1 Nd1 O3,2
3390,Li1 O12 P3 Sn0.6 Ti1.4,1
3391,Fe1 K0.04 Mo1 O6 Sr1.96,1
3392,Cu0.9 Ga12 Pr2,2
3393,Hf1 Si2,0
3394,Ba1 O3 Tb1,0
3395,Ce1 Ni0.84 Sn2,2
3396,P2 Pr1,0
3397,Cr0.7 Re0.3,1
3398,C1 N1 Na1 Se1,0
3399,Cu28.465 Sn4.678 Zn18.857,1
3400,Mg1 Mo0.89 O4 W0.11,1
3401,F1 Ho3 O10 Si3,0
3402,Cu1 Gd1 Tl1,1
3403,C9 Co3 O9 Se1,0
3404,Ba1.932 Ca0.146 Cu2.824 O6.82 Y0.922,3
3405,Ca1.333 Se15.996 Sm10.664,1
3406,Al3 Co14 Sm2,1
3407,Ce1 Ga8.1 Pd2.9,3
3408,Al0.2 Fe1.8 Sm1,1
3409,B2 S4 Sr1,0
3410,K4 Na2 O6 Te1,0
3411,Pd0.1 S2 Ta1,2
3412,Ge1 Mn2,0
3413,Mg0.24 Nb0.47 O3 Pb1 Ti0.29,1
3414,Ag2 Gd1 In1,0
3415,B2 Na4 O5,0
3416,O26 Si6 Sr2 Yb8,1
3417,B3 Nb0.35 V1.65,1
3418,Al4.979 B1 O9,2
3419,O6 Sr2 U1 Zn1,0
3420,Gd2 Rh1 Si3,0
3421,Al1 Ta1.564,1
3422,Cl1 O8 Pb2 Se2 V1,0
3423,Ca1 Hg4.4 Zn1.73,3
3424,Al0.1 Fe1.9 Ni0.5 O4 Zn0.5,1
3425,Co2.5 Ho1 Ni2.5,1
3426,Bi1.82 Cd0.18 F0.92 La2 O1.08 S4,1
3427,Ho1 Sb1,0
3428,B3.796 Hf3.04 Ir10.102 Zr0.92,3
3429,Mo1 O5 Te1,0
3430,P1 Ru1 Ta1,0
3431,Cr2 Cu0.2 Ga0.8 Se4,1
3432,C3 Mn22 Nd2,2
3433,Fe14.5 Gd2 Si2.5,1
3434,La0.531 Li0.396 O3 Ti1,2
3435,B4 O11 Sc2 Sr2,0
3436,Ba0.403 Cu3 La1.037 O6.99,3
3437,Ho1 Pt2 Si2,0
3438,Cu5.44 Gd0.78,3
3439,Ce0.9 O1.97 Sc0.06 Zr0.04,3
3440,Ni3.34 P6 U3,2
3441,Ag0.8 Se1.9 Sn1.2,3
3442,Cs9 Fe1 O4,0
3443,Bi2 Ni0.82 Y1,2
3444,In1 Lu1 Pd2,0
3445,Co2 In1 Sm6,0
3446,Bi1 Ni2 O9.54 Sr5,2
3447,In7 Sr11,0
3448,Ga17 Nd4 Ni2,1
3449,Ca0.09 O1.91 Zr0.91,3
3450,Ba2.6 Fe2 O13 Pb2.4 Sc2 Ti1,3
3451,Al3 La5 Ni2,0
3452,Al4.624 O9.688 Si1.376,3
3453,Cr0.3 Fe2.7 Si1,1
3454,Cr0.3 Cu0.7 Fe1.7 Ni0.3 O4,1
3455,Ca0.3 Cs0.3 P1 Pr0.7 S4,3
3456,K0.012 O16 Ti8,2
3457,Nd0.95 Ni1 O2.96 Sr0.05,3
3458,Bi6 Ca6 O15,0
3459,Lu0.92 Sn4.08 Ti6,1
3460,Al1 B1 Cu2 O5,1
3461,Bi1 Co1 O5 P1,0
3462,Co0.5 Ga1.5 Sm1,1
3463,Ba1 Ge2 Mn2,0
3464,Ga5 La3 O14 Sn1,0
3465,Bi0.84 Fe1 Gd0.16 O3,1
3466,Cr1.8 Mg1.2 Na1.2 O12 P3,3
3467,Ho1 Ni3,0
3468,O1 S2 Sb2,0
3469,Bi2 O6 Ru2,0
3470,Co1.26 Fe2.74 La0.743 Sb12,3
3471,Ce0.85 O2.925 Sr1 Y0.15,3
3472,Al1.46 Ba0.88 Cs0.3 Fe0.82 O16 Ti5.72,3
3473,Ba8 Ga11.3 Si34.2,3
3474,B2 La5 N6,0
3475,In0.1 La0.5 Mn0.9 O3 Sm0.1 Sr0.4,1
3476,Li3.616 Mn1 O2 S3 Sr2,2
3477,Bi1 Mo0.67 O4 Sc0.33,0
3478,Au1 Mg3,0
3479,As2 Mg0.52 Mn2.48,1
3480,Sc2 Si4 V3,0
3481,Co1 Mn1 Ni1 O4,3
3482,Fe0.12246 O1 Zn0.81954,3
3483,La5 N1 O2 S4,0
3484,Al2.94 Cl2 Ga3.06 Na8 O24 Si6,1
3485,Mg1 O6 Sr2 U1,0
3486,Al1 Rh1 Th0.2 U0.8,1
3487,Mn2 Mo1 Si1,1
3488,F6 Ni1 Sn1,0
3489,Lu0.25 Mn0.75 O3 V1,1
3490,Co1 Lu1 O3,0
3491,Ca0.26 Fe9.518 Mg0.654 Na3.74 O40 Si11.828 Ti2,1
3492,Cr2 K1 O8 Tb1,0
3493,Cl4 Rb2 Zn1,2
3494,Ba2 Cu3 La1 O6.86,2
3495,Fe4 K2 O7,2
3496,Li0.583 Ni1 O2,3
3497,Ni1 Pr2 Si1,1
3498,Ga0.93 Mn3.07 N1,1
3499,Bi1.56 Cu0.46 O6.72 Ti2,3
3500,In1 S8 Ti5,2
3501,B6 Ba3 F2 O11,0
3502,C2 Na2 Pt1,0
3503,Rh0.92 Ta0.08,1
3504,Fe0.4 Ir0.4 Li0.29 O2,3
3505,Bi5 Cu3 Pb3 S12,3
3506,K1 Mo2 O8 Pr1,1
3507,La2 Mn0.2 Ni1 O6 Ti0.8,1
3508,Ca1 Cu1 O7 P2,0
3509, Co0.571 Cr0.571 Cu0.571 Fe0.571 La2 Mn0.571 Nd2 Ni0.571 O12 Ti0.571,1
3510,Co3 Lu1,0
3511,Al0.28 Ba2 Cu2.72 O6.84 Pr0.49 Y0.51,3
3512,Cu1 Nd0.04 O2.02 Sr0.96,3
3513,Bi0.37 Nb0.025 O3 Pb0.63 Sc0.37 Ti0.58 Yb0.025,3
3514,Al3.039 Ge3 Tb2,2
3515,La0.6 Mn1 O3 Pr0.4,1
3516,Cl0.71 Cu7.62 N0.29 O8.87,3
3517,Br1.45 P20 Si26 Te6.01,3
3518,B6 Ba0.5 Sr0.5,1
3519,Au6.4 Ba2 Zn2.6,1
3520,Al0.2 Mn2 Zr0.8,1
3521,Bi1 Cu1 Sr1,0
3522,Cd0.3 Cu2 Fe0.7 Se4 Sn1,1
3523,Na2 O6 Te1 Zn2,2
3524,Fe1 Na1 O8 W2,0
3525,Ag8 Se1 Te3,3
3526,Al10 Ba0.5 Cu1 O17 Sr0.5,1
3527,Fe0.5 O3 Sn0.5 Sr1,1
3528,Ba2 O6 Sb1 Zr0.75,0
3529,Ba0.4 Fe0.2 La0.6 Mn0.8 O3,1
3530,Fe0.1 O1 Zn0.9,1
3531,Ag1.6 Cu2.4 Ga4 Se8,1
3532,Cr0.6 Fe0.4 Nd1 O3,1
3533,Ba0.95 Ca0.05 O3 Ti0.97 Y0.04,1
3534,Ba1.5 Ca0.5 Cu3 La1 O7.02,3
3535,Ba0.33 La0.67 Mn0.85 O3 Sn0.15,1
3536,Nd2 O5 S2 Ti2,0
3537,Co4.3 Fe10.7 Si2 Tb2,1
3538,Hf0.16675 Ti0.16675 W0.667,1
3539,Co0.06 Mn0.352 Ni0.44 Sn0.148,1
3540,Bi0.4 Fe3 O13 P3,2
3541,Ga16 Rh7 Zr6,0
3542,Co1 P1 V1,0
3543,Ba0.27 La0.73 O2.865 Sc1,3
3544,Ag8 S3.9 Sn1 Te2.1,3
3545,Cu3 La1 O12 Ru1.5 Ti2.5,1
3546,Hf1 Pt1 Sn1,0
3547,Ba9 S15 V3,2
3548,Al1.4 Fe0.6 Mg1 O4,1
3549,Fe1 Ge2 Ti1,0
3550,Al1.5 Ba1.75 Te4,2
3551,B3 Ca4 La1 O10,0
3552,In1 Np2 Pt2,0
3553,Al1.65 Ce3 Se7,2
3554,Al10.6 Cl1.476 O48 Si13.4 Ta0.369 Tl10.578,3
3555,As3 Co0.25 Fe0.375 Ni0.375,1
3556,Cu6 Se8 Sn1 W1,0
3557,B1 Rh2,0
3558,Cu0.67 Fe0.33,1
3559,Ga3 Mn2.85 Pb0.65 S8,2
3560,Mn1.6 Si3 V3.4,1
3561,Bi1.4 I2 O2 Pb0.6 Rb0.6,3
3562,Ge2 Mn1 Pd3,0
3563,Fe0.2 Mn9 O28 Sb2 Si3.8 Zn6,1
3564,Eu1 Mg5.2,2
3565,Co1 Nb3 S6,0
3566,Sn2.85 Sr3 Tl2.16,1
3567,C3.72 Ti5.73,2
3568,Ba1 Fe3.35 O11 Ru2.65,1
3569,Au5 Mn2,0
3570,Fe0.5 Mn0.5 Nd0.5 O3 Sr0.5,1
3571,C1 B2 Rh2 Tb1,0
3572,Ce4 Ge3 Rh4,0
3573,I7 Nb0.93 Ta2.07 Te1,1
3574,Bi2.032 Se2.968,1
3575,Cu0.1 La0.5 Mn0.9 O3 Sr0.5,1
3576,B1 Co1 Ta1,0
3577,Ag1 La5 O7 S5 Ti2,0
3578,Au1 Gd2,0
3579,B2 O10 Pb4 S1,0
3580,Fe2.16 K0.15 Mn1 Na0.7 O38 Pb0.15 Ti15.84 Zn2,1
3581,Ag1 Nb0.5 O3 Ta0.5,1
3582,Ni5.225 Zn41.8,2
3583,Li4 O8 Zr3,2
3584,Ni0.92 Pt0.39 Sn1,3
3585,Hf10 Sb5.12 V0.88,1
3586,Mn1 Ta2 V3,1
3587,Fe0.026 S1 Zn0.984,1
3588,Cs2 Np2 O16 S1.81 Se1.19,1
3589,Pb1 Sb2 Te4,1
3590,Fe2 O1 Se1,0
3591,Ni9 Pr1 Si2,0
3592,Dy1 Fe0.1 Sn2,2
3593,Cu0.2 Fe0.8 Nd0.4 O2.93 Sr0.6,3
3594,Br0.75 Eu0.01 F0.25 O12 P3 Sr4.99,1
3595,N1 Pu0.2 U0.8,1
3596,Mo6 Ni0.85 Te8,2
3597,K2 O8 Se2 Sr1,0
3598,Ga1 Na3 S4 Zn1,1
3599,Cs2 Ge3 Mn1 S8,0
3600,Cd2 La1 Pd1,0
3601,C1 Fe11 Sm1 Ti1,1
3602,Mg0.841 Mn0.159 O1,1
3603,K4 Na2 O15 Si6,0
3604,Co1 Eu2 O10 Si3,0
3605,Mn0.03 O2 Sn0.97,1
3606,I2 O11 Sb8,2
3607,O3 Pb1 Rb4,0
3608,Gd4 Ge8 Re1,2
3609,Ag13.02 Al7.98 Eu3,1
3610,Cs2 O10 W3,2
3611,Ce1 Fe1 Ge2,0
3612,Mo1.5 O6.67 Sr3 Zn0.5,3
3613,La0.4 O1.8 Th0.6,3
3614,Cu2 O8 P2 Sr1,0
3615,F6 Ge1 Rb2,0
3616,Eu0.5 Gd4.5 Ge4,1
3617,O21 Rb6 U2 W4,0
3618,Cu1 Sn1 Y1,0
3619,As2 Mn3 O8,0
3620,Au3 Yb1,0
3621,Na4.5 O4.5 S1.5 V1.5,0
3622,Ga0.5 La0.8 O6 Pr0.2 Sb1.5,1
3623,Al2 Cu0.5 O4 Zn0.5,1
3624,Al1.458 F1.78 Fe0.506 K1 Li1.516 O10.22 Si3.52,1
3625,Ba0.83 Ce0.95 O3 Pr0.17,3
3626,Li0.899 O32 W8 Yb5.101,1
3627,Bi2 Mn1 O6.5 Sr2,0
3628,Cu2.8 O7 Re0.2 Sr2 Y1,3
3629,Ba0.15 Fe0.5 Nb0.5 O3 Pb0.85,1
3630,Ca0.8 Mg1.2 O6 Si2,3
3631,Cs1 Ga5 Mn4 Te12,1
3632,Cu0.65 S2 V1,2
3633,Al2 Cl6 O1 Sn1,0
3634,Ag1 Pb3 Zr5,0
3635,In2 Mo5 Na2 O16,2
3636,Pd3 Pu1,0
3637,Cu1 Er1 Sb2,0
3638,O3 Sn0.24 W1,2
3639,Fe2 Na1 O12 P1 S2,1
3640,Ba0.21 O3 W1,2
3641,Ge0.4 Mg2 Si0.6,1
3642,Mo6 Nd0.7 O24 Rb4.7 Zr1.3,3
3643,Co1 Ga5 Yb1,0
3644,Li1 O5 Si1 Ta1,0
3645,Bi1 N2 U2,0
3646,La1 Mg1 O6 Sr1 Ta1,1
3647,Al1.606 Cr0.244 Mg1.15 O4,1
3648,Ca1.46 Nb1.11 O7 Ti1.38,3
3649,B1 Co2 Fe11.6 Mn0.4 Pr2,1
3650,Er1 Fe0.8 Mn5.2 Sn6,1
3651,Cu3 O5 Sr2,0
3652,Cu0.175 Nd1 Ni0.825,1
3653,N3 Sr2 V1,0
3654,Co0.97 Li1 O4 P1 V0.02,3
3655,Cd1 Mo0.75 O4 W0.25,1
3656,Fe0.159 Mg1.826 Ni0.015 O4 Si1,1
3657,Co0.55 Cr2 Cu0.45 S3.5 Se0.5,1
3658,O7 P2 Th1,0
3659,Eu1 S2 Tl1,0
3660,Ba4 Ge20 Pt3,0
3661,B5 F3 O7 Pb1,0
3662,Mn0.5 Ni0.5 O3 Ti1,1
3663,Al4.59 O9.7 Si1.41,3
3664,B4 Co11 Y3,0
3665,Ag6 Cl2 Ge1 S4,2
3666,Al8 Mn4 Tb1,1
3667,Fe1 S4 Sb2,0
3668,Ga6 Mn11 Sm2,1
3669,K1 Mn1 O7 Rb1 V2,1
3670,O18 P3 Rb2 Ti1 V3,0
3671,Dy1 Pd1 Sb1,0
3672,B4 Er1 Re1,0
3673,Cl6 Hf1 Se4,0
3674,La1.44 Ni1 O3.91 Sr0.48,3
3675,Al0.33 K0.8 O9 W2.67,3
3676,Ce3 F11 K1 O1,2
3677,Li1 Mo9 Na5 O30,0
3678,Cu5 Na1 S3,2
3679,Cu2.5 Fe0.5 S2,3
3680,Na1.164 O8 V3,2
3681,Cu3 Fe4 Ho1 O12,0
3682,Ba1 In2 La2 Se7,0
3683,Cu1.6 Gd1 Ni0.4,1
3684,Al0.5 Cr0.5 Fe1,1
3685,Dy1 In4.7 Mn2 Zn15.3,1
3686,Al1 As2 O7 Rb1,0
3687,Er1 Fe0.4 Mn1.6,1
3688,Dy6 Sb14 Zn1.38,2
3689,Pb0.758 S1,2
3690,As1 Cs1 O5 Ti1,3
